district_code,district_name,homepage_url,office_name,office_address,office_postal_code,office_latitude,office_longitude,office_location_scope,office_location_source_url,office_location_source_title,office_geocode_source,office_geocode_status,office_location_last_verified_date
11110,종로구,https://www.jongno.go.kr,종로구청,서울특별시 종로구 삼봉로 43,03153,37.5723031,126.9808398,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11140,중구,https://www.junggu.seoul.kr,중구청,서울특별시 중구 창경궁로 17,04558,37.5637580,126.9975659,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11170,용산구,https://www.yongsan.go.kr,용산구청,서울특별시 용산구 녹사평대로 150,04390,37.5325763,126.9904206,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11200,성동구,https://www.sd.go.kr,성동구청,서울특별시 성동구 고산자로 270,04750,37.5634661,127.0368984,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11215,광진구,https://www.gwangjin.go.kr,광진구청,서울특별시 광진구 자양로 117,05026,37.5384976,127.0819157,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11230,동대문구,https://www.ddm.go.kr,동대문구청,서울특별시 동대문구 천호대로 145,02565,37.5745240,127.0396500,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11260,중랑구,https://www.jungnang.go.kr,중랑구청,서울특별시 중랑구 봉화산로 179,02043,37.6063242,127.0925842,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11290,성북구,https://www.sb.go.kr,성북구청,서울특별시 성북구 보문로 168,02848,37.5894684,127.0168275,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11305,강북구,https://www.gangbuk.go.kr,강북구청,서울특별시 강북구 도봉로89길 13,01071,37.6397199,127.0256882,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11320,도봉구,https://www.dobong.go.kr,도봉구청,서울특별시 도봉구 마들로 656,01331,37.6687201,127.0473035,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
